_id;Year;Month;Type;Departure station;Arrival station;Average travel time;Number of expected travels;Number of cancelled trains;Number of late trains at departure;Average delay at departure of all trains;Number of late trains at arrival;Average delay at arrival of all trains;Comment on delay at arrival;Number of late trains > 15min;Average delay of late trains > 15min;Number of late trains > 30min;Number of late trains > 60min;Percentage of late trains due to external causes;Percentage of late trains due to infrastructure;Percentage of late trains due to traffic management;Percentage of late trains due to rolling stock;Percentage of late trains due to station management and reuse of material;Percentage of late trains due to passenger traffic
2021_06_PARIS_MONTPARNASSE_LE_MANS;2021;6;National;PARIS MONTPARNASSE;LE MANS;63;419;0;44;0.776412092283214;39;0.687151949085122;;11;33.680303030303;4;0;28.9473684210526;10.5263157894737;7.89473684210526;13.1578947368421;13.1578947368421;26.3157894736842
2021_06_REIMS_PARIS_EST;2021;6;National;REIMS;PARIS EST;46;206;0;41;1.35056634304207;22;2.9572815533980603;;9;48.7722222222222;7;4;31.8181818181818;45.454545454545496;4.545454545454549;4.545454545454549;9.09090909090909;4.545454545454549
2021_06_RENNES_LYON_PART_DIEU;2021;6;National;RENNES;LYON PART DIEU;232;73;0;25;4.22579908675799;16;9.54840182648402;;16;44.8979166666667;11;4;18.75;43.75;6.25;6.25;0.0;25.0
2021_06_STRASBOURG_NANTES;2021;6;National;STRASBOURG;NANTES;309;38;2;6;0.597685185185185;3;4.7837962962963;;3;42.0611111111111;2;0;100.0;0.0;0.0;0.0;0.0;0.0
2021_06_TOURCOING_BORDEAUX_ST_JEAN;2021;6;National;TOURCOING;BORDEAUX ST JEAN;303;30;0;8;7.35277777777778;6;9.35;;6;49.79999999999999;4;2;0.0;16.6666666666667;0.0;66.6666666666667;0.0;16.6666666666667
2021_06_VANNES_PARIS_MONTPARNASSE;2021;6;National;VANNES;PARIS MONTPARNASSE;160;257;0;71;2.00214007782101;27;4.79675745784695;;20;38.7633333333333;9;2;20.0;64.0;8.0;4.0;4.0;0.0
2021_07_ITALIE_PARIS_LYON;2021;7;International;ITALIE;PARIS LYON;446;57;1;26;1.07142857142857;26;16.1386904761905;;26;28.2051282051282;11;0;53.8461538461538;11.5384615384615;15.3846153846154;11.5384615384615;7.69230769230769;0.0
2021_07_PARIS_LYON_BARCELONA;2021;7;International;PARIS LYON;BARCELONA;397;61;1;13;1.65777777777778;0;0.0;;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
2021_07_ZURICH_PARIS_LYON;2021;7;International;ZURICH;PARIS LYON;244;122;0;50;1.18140495867769;9;2.28085399449036;;9;37.5055555555556;3;2;0.0;33.3333333333333;11.1111111111111;22.2222222222222;11.1111111111111;22.2222222222222
2021_07_LE_CREUSOT_MONTCEAU_MONTCHANIN_PARIS_LYON;2021;7;National;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;81;203;0;98;3.974834983498349;28;2.99595709570957;;13;34.4192307692308;6;1;11.1111111111111;7.40740740740741;22.2222222222222;14.8148148148148;11.1111111111111;33.3333333333333
